Port_IDs,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Trade_Types,Rank
3925368433214965504,0.007356040718528244,6789.436738630001,4.363480009448747,-1.070041133451569,0.3333333333333333,486,1458,"BUY_LONG, SELL_LONG, BUY_SHORT, SELL_SHORT",61.5
4002413037164645377,0.04965881247172493,3686.9697606,1.996735716411996,-1.9784641933692267e+70,0.1857638888888889,107,576,"SELL_BOTH, BUY_BOTH",74.25
3923766029921022977,0.0031346778389408827,772.7290318900001,1.1490127066510476,-78956969390.39111,0.2851469420174742,359,1259,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",123.25
3994879592543698688,0.016705308671254002,3658.7650624,1.8951558696617652,-7.680480938132588e+57,0.552833078101072,361,653,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",52.75
3926423286576838657,0.002712851604838187,1309.4599595900002,0.7978501621277332,-1026834870296.0654,0.3410041841004184,163,478,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",119.5
3987739404272887297,0.011166948078021894,12464.6063154,0.791860176920203,-inf,0.22826446280991736,1381,6050,"SELL_SHORT, SELL_LONG, BUY_SHORT, BUY_LONG",86.25
4030395639953224449,0.010310647503238783,4413.76154738,2.6643376950167434,-3.6498166397205726e+40,0.17479674796747968,86,492,"SELL_LONG, SELL_SHORT, BUY_SHORT, BUY_LONG",82.75
3953433416230728705,0.008135910248077227,4924.761779980001,2.652694185563196,-1.3980320118142558e+42,0.20872865275142316,110,527,"SELL_LONG, BUY_LONG, BUY_SHORT, SELL_SHORT",82.75
3919174299855478272,0.0012640160998706256,1456.3718076200003,0.18242363501161402,0.0,0.48066298342541436,609,1267,"SELL_BOTH, BUY_BOTH",108.5
4029749871687083265,0.06548711229442733,3662.13654822,5.617626981722507,0.0,0.4287383177570093,367,856,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",34.0
4013978721149559808,0.062387827844744885,3778.8782239800003,2.574665157691489,0.0,0.20748299319727892,61,294,"BUY_BOTH, SELL_BOTH",68.5
3878631538480067329,0.008236074610415506,3921.2330411600005,2.4774766105499415,-inf,0.5033795802205621,1415,2811,"BUY_SHORT, SELL_SHORT, SELL_LONG, BUY_LONG",59.75
